symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
MSH2	HGNC:7325	4436	ENSG00000095002	mutS homolog 2	P43246		HNPCC|HNPCC1|MSH-2|COCA1	prostate cancer	candidate	0	germline	mismatch repair; immunotherapy sensitivity	curated (Claude knowledge; unverified)
TACSTD2	HGNC:11530	4070	ENSG00000184292	tumor associated calcium signal transducer 2	P09758		TROP2|GA733-1|EGP-1|M1S1	prostate cancer	candidate	0	clinical_trial	TROP2 antibody-drug conjugates	curated (Claude knowledge; unverified)
CHEK2	HGNC:16627	11200	ENSG00000183765	checkpoint kinase 2	O96017		CDS1|CHK2|HuCds1|PP1425|bA444G7|RAD53	prostate cancer	candidate	0	germline	DNA damage checkpoint	curated (Claude knowledge; unverified)
SLC2A13	HGNC:15956	114134	ENSG00000151229	solute carrier family 2 member 13	Q96QE2		HMIT	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
EZH2	HGNC:3527	2146	ENSG00000106462	enhancer of zeste 2 polycomb repressive complex 2 subunit	Q15910		EZH1|ENX-1|KMT6|KMT6A	prostate cancer	candidate	0	clinical_trial	EZH2 inhibitors combined with AR blockade	curated (Claude knowledge; unverified)
SLC35G5	HGNC:15546	83650	ENSG00000177710	solute carrier family 35 member G5	Q96KT7		AMAC|AMAC1L2	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC22A6	HGNC:10970	9356	ENSG00000197901	solute carrier family 22 member 6	Q4U2R8		ROAT1|PAHT|OAT1	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
MTOR	HGNC:3942	2475	ENSG00000198793	mechanistic target of rapamycin kinase	P42345		mTOR|RAFT1|RAPT1|FLJ44809|FRAP|FRAP2|FRAP1	prostate cancer	candidate	0	clinical_trial	PI3K/AKT/mTOR pathway	curated (Claude knowledge; unverified)
GNRHR	HGNC:4421	2798	ENSG00000109163	gonadotropin releasing hormone receptor	P30968		LHRHR|GRHR	prostate cancer	known	1	approved_drug	leuprolide; goserelin; degarelix; relugolix — approved (androgen deprivation)	curated (Claude knowledge, 2026-05; unverified)
SLC29A2	HGNC:11004	3177	ENSG00000174669	solute carrier family 29 member 2	Q14542		DER12|ENT2|HNP36	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC1A7	HGNC:10945	6512	ENSG00000162383	solute carrier family 1 member 7	O00341		EAAT5	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC7A10	HGNC:11058	56301	ENSG00000130876	solute carrier family 7 member 10	Q9NS82		asc-1	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
NKX3-1	HGNC:7838	4824	ENSG00000167034	NK3 homeobox 1	Q99801		NKX3.1|BAPX2|NKX3A	prostate cancer	candidate	0	biology	prostate lineage; haploinsufficient tumour suppressor	curated (Claude knowledge; unverified)
SLC15A5	HGNC:33455	729025	ENSG00000188991	solute carrier family 15 member 5	A6NIM6			prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC26A6	HGNC:14472	65010	ENSG00000225697	solute carrier family 26 member 6	Q9BXS9		DKFZp586E1422	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC67A2	HGNC:28158	84804	ENSG00000135953	solute carrier family 67 member 2	Q8NBP5		MGC11332|MFSD9	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC16A9	HGNC:23520	220963	ENSG00000165449	solute carrier family 16 member 9	Q7RTY1		FLJ43803|MCT9|C10orf36	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
HOXB13	HGNC:5112	10481	ENSG00000159184	homeobox B13	Q92826			prostate cancer	candidate	0	germline	G84E risk allele	curated (Claude knowledge; unverified)
TMPRSS2	HGNC:11876	7113	ENSG00000184012	transmembrane serine protease 2	O15393		PRSS10	prostate cancer	candidate	0	somatic	fusion partner; androgen-regulated protease	curated (Claude knowledge; unverified)
SLC13A5	HGNC:23089	284111	ENSG00000141485	solute carrier family 13 member 5	Q86YT5		NACT|INDY|mINDY	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
